Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
"        $5,000 to $14,999",16.80%,±1.0,19.00%,±3.6,16.60%,±1.1
"        $15,000 to $24,999",16.80%,±1.1,17.30%,±3.2,16.70%,±1.1
"        $25,000 to $34,999",16.00%,±0.9,15.30%,±3.2,16.10%,±0.9
"        $35,000 to $49,999",15.80%,±0.9,17.00%,±3.3,15.70%,±1.0
"        $50,000 to $74,999",13.60%,±0.8,9.30%,±2.8,13.90%,±0.9
"        $75,000 or more",10.20%,±0.8,4.80%,±1.9,10.50%,±0.8
Median Earnings,"28,012","±1,071","22,031","±2,509","28,707","±1,183"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,
    Population Age 16 and over for whom poverty status is determined,"644,850","±5,017","105,671","±5,077","539,179","±7,049"
        Below 100 percent of the poverty level,17.20%,±1.1,26.20%,±2.3,15.50%,±1.1
        100 to 149 percent of the poverty level,10.20%,±0.8,15.50%,±1.8,9.10%,±0.8
        At or above 150 percent of the poverty level,72.60%,±1.1,58.30%,±2.4,75.40%,±1.2
