Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
        Public transportation (excluding taxicab),1.50%,±0.4,5.20%,±3.4,1.30%,±0.3
        Walked,2.00%,±0.5,2.40%,±1.8,2.00%,±0.5
"        Taxicab, motorcycle, bicycle, or other means",1.20%,±0.3,1.30%,±1.1,1.20%,±0.3
        Worked from home,3.90%,±0.5,3.90%,±1.9,4.00%,±0.5
EDUCATIONAL ATTAINMENT,,,,,,
    Population Age 25 and Over,"565,403","±4,859","100,539","±5,272","464,864","±6,846"
        Less than high school graduate,13.30%,±1.1,21.50%,±2.8,11.50%,±1.2
        High school graduate (includes equivalency),29.40%,±1.3,36.30%,±3.0,27.90%,±1.5
        Some college or associate's degree,26.10%,±1.0,26.90%,±2.9,26.00%,±1.3
        Bachelor's degree or higher,31.20%,±1.2,15.20%,±2.2,34.70%,±1.4
EARNINGS IN PAST 12 MONTHS (IN 2019 INFLATION ADJUSTED DOLLARS),,,,,,
    Population Age 16 and over with earnings,"457,400","±8,040","31,276","±3,209","426,124","±8,709"
"        $1 to $4,999 or loss",7.60%,±0.8,12.80%,±3.8,7.20%,±0.8
"        $5,000 to $14,999",13.40%,±1.0,18.90%,±4.1,12.90%,±1.0
"        $15,000 to $24,999",14.10%,±1.1,21.60%,±4.4,13.60%,±1.1
"        $25,000 to $34,999",17.00%,±1.3,17.40%,±3.8,17.00%,±1.4
"        $35,000 to $49,999",18.00%,±1.2,13.80%,±3.2,18.40%,±1.3
"        $50,000 to $74,999",16.10%,±1.1,8.70%,±2.6,16.60%,±1.2
"        $75,000 or more",13.70%,±0.9,6.70%,±2.1,14.20%,±1.0
        Median Earnings,"33,217","±1,232","22,345","±2,726","34,381","±1,295"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,
    Population Age 16 and over for whom poverty status is determined,"665,989","±5,934","106,088","±5,791","559,901","±8,015"
        Below 100 percent of the poverty level,14.40%,±1.0,23.70%,±2.3,12.70%,±1.1
        100 to 149 percent of the poverty level,9.60%,±1.0,14.70%,±2.4,8.60%,±1.2
        At or above 150 percent of the poverty level,76.00%,±1.3,61.60%,±3.0,78.70%,±1.4
