Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
"        Transportation and warehousing, and utilities",7.50%,±0.9,8.80%,±3.3,7.40%,±0.9
        Information,1.40%,±0.4,1.50%,±1.1,1.40%,±0.4
"        Finance and insurance, and real estate and rental and leasing",6.40%,±0.8,4.80%,±1.8,6.50%,±0.9
"        Professional, scientific, and management, and administrative and waste management services",12.60%,±1.0,10.10%,±3.5,12.80%,±1.1
"        Educational services, and health care and social assistance",23.60%,±1.4,24.00%,±3.9,23.50%,±1.5
"        Arts, entertainment, and recreation, and accommodation and food services",7.70%,±0.9,10.40%,±3.5,7.50%,±1.0
        Other services (except public administration),4.70%,±0.7,4.40%,±1.9,4.70%,±0.7
        Public administration,4.50%,±0.7,3.40%,±2.0,4.60%,±0.7
COMMUTING TO WORK,,,,,,
    Workers Age 16 and Over,"448,230","±8,066","32,829","±3,519","415,401","±8,282"
"        Car, truck, or van - drove alone",74.10%,±1.5,61.80%,±5.4,75.10%,±1.6
"        Car, truck, or van - carpooled",8.80%,±1.1,11.60%,±3.2,8.60%,±1.2
        Public transportation (excluding taxicab),1.30%,±0.4,4.40%,±3.1,1.10%,±0.4
        Walked,1.60%,±0.3,3.20%,±1.8,1.50%,±0.3
"        Taxicab, motorcycle, bicycle, or other means",1.70%,±0.4,2.40%,±1.4,1.60%,±0.4
        Worked from home,12.50%,±0.9,16.60%,±4.2,12.20%,±1.0
EDUCATIONAL ATTAINMENT,,,,,,
    Population Age 25 and Over,"567,142","±4,578","93,885","±5,014","473,257","±6,421"
        Less than high school graduate,11.10%,±0.9,20.40%,±2.7,9.20%,±0.9
        High school graduate (includes equivalency),25.60%,±1.6,29.70%,±3.2,24.80%,±1.6
        Some college or associate's degree,26.40%,±1.3,28.80%,±2.6,25.90%,±1.5
        Bachelor's degree or higher,36.90%,±1.3,21.10%,±2.7,40.00%,±1.4
EARNINGS IN PAST 12 MONTHS (IN 2023 INFLATION ADJUSTED DOLLARS),,,,,,
    Population Age 16 and over with earnings,"493,528","±8,423","39,810","±3,825","453,718","±8,550"
"        $1 to $4,999 or loss",7.90%,±0.8,8.30%,±2.4,7.80%,±0.9
"        $5,000 to $14,999",11.30%,±1.0,17.40%,±3.9,10.80%,±1.0
"        $15,000 to $24,999",10.20%,±1.1,13.50%,±3.7,9.90%,±1.1
"        $25,000 to $34,999",12.00%,±0.8,13.00%,±3.1,11.90%,±0.9
"        $35,000 to $49,999",16.90%,±1.3,16.90%,±3.2,16.90%,±1.4
"        $50,000 to $74,999",20.60%,±1.2,16.10%,±3.8,21.00%,±1.2
"        $75,000 or more",21.20%,±1.0,14.80%,±3.6,21.80%,±1.0
        Median Earnings,"41,563",±666,"32,208","±4,304","42,100",±762
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,
    Population Age 16 and over for whom poverty status is determined,"665,495","±5,118","103,086","±4,856","562,409","±7,072"
        Below 100 percent of the poverty level,14.10%,±1.1,22.30%,±3.0,12.50%,±1.1
        100 to 149 percent of the poverty level,7.70%,±0.9,12.40%,±3.0,6.90%,±1.0
        At or above 150 percent of the poverty level,78.20%,±1.3,65.40%,±3.8,80.60%,±1.4
